CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.09;Resultado Líquido das Operações Continuadas;177079.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.10;Resultado Líquido de Operações Descontinuadas;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.10;Resultado Líquido de Operações Descontinuadas;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.10.01;Lucro/Prejuízo Líquido das Operações Descontinuadas;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.10.02;Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas;0.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.11;Lucro/Prejuízo Consolidado do Período;126338.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;ÚLTIMO;2018-07-01;2019-06-30;3.11;Lucro/Prejuízo Consolidado do Período;177079.00
07.628.528/0001-59;2019-06-30;1;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;DF Consolidado - Demonstração do Resultado;REAL;MILHAR;PENÚLTIMO;2017-07-01;2018-06-30;3.11.01;Atribuído a Sócios da Empresa Controladora;126338.00
